run_id,step,algo,opt,pivot,scheme,cutoff,depth,tail,run_threshold,iterative,reuse_buffer,fitness_ms,comparisons,swaps,n,trials_per_dist,dist_mask,pop_idx,temp
massive_1762530540737,1,QS,GA,First,Hoare,34,16,0,,,,12.0534,2585348,832967,100000,1,1,176,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,34,24,0,,,,12.1224,2459261,840925,100000,1,1,177,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,34,18,0,,,,12.152,2511595,841927,100000,1,1,178,0.000000
massive_1762530540737,1,QS,GA,First,Lomuto,37,23,0,,,,12.1922,2210730,1379447,100000,1,1,179,0.000000
massive_1762530540737,1,QS,GA,Last,Hoare,34,22,1,,,,12.2326,2470251,837338,100000,1,1,180,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,33,20,0,,,,12.2367,2562804,823210,100000,1,1,181,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,35,21,1,,,,12.2864,2545182,859762,100000,1,1,182,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,37,19,0,,,,12.2987,2685204,882038,100000,1,1,183,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,35,19,0,,,,12.405,2500433,851775,100000,1,1,184,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,35,22,1,,,,12.5472,2486655,853745,100000,1,1,185,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,36,19,0,,,,12.9793,2551399,872772,100000,1,1,186,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,37,25,0,,,,13.2383,2599082,890647,100000,1,1,187,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,34,20,0,,,,13.6105,2562198,839019,100000,1,1,188,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,35,23,0,,,,13.8475,2494805,858405,100000,1,1,189,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,32,23,0,,,,14.1562,2444360,810187,100000,1,1,190,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,33,18,0,,,,14.2294,2492726,821626,100000,1,1,191,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,33,19,0,,,,14.239,2457341,823795,100000,1,1,192,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,33,22,0,,,,14.4002,2584939,828616,100000,1,1,193,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,35,18,0,,,,15.6225,2631802,849569,100000,1,1,194,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,33,19,0,,,,17.6644,2667419,815919,100000,1,1,195,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,37,21,0,,,,17.9762,2536566,895224,100000,1,1,196,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,36,19,0,,,,18.2377,2457512,868966,100000,1,1,197,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,34,22,0,,,,21.2734,2465383,842796,100000,1,1,198,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,33,20,1,,,,23.8065,2499498,823257,100000,1,1,199,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,35,18,0,,,,24.3133,2648488,853323,100000,1,1,200,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,35,22,0,,,,24.3309,2565676,849408,100000,1,1,201,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,36,24,0,,,,24.3373,2562077,875344,100000,1,1,202,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,36,21,0,,,,25.7399,2560236,872396,100000,1,1,203,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,37,19,0,,,,26.129,2671332,885482,100000,1,1,204,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,34,19,0,,,,27.2871,2542519,832436,100000,1,1,205,0.000000
massive_1762530540737,1,QS,GA,Median3,Hoare,36,21,0,,,,27.7999,2285187,851089,100000,1,1,206,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,35,24,0,,,,29.041,2467880,859175,100000,1,1,207,0.000000
massive_1762530540737,1,QS,GA,First,Lomuto,33,21,0,,,,31.4316,2251060,1283714,100000,1,1,208,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,35,21,0,,,,34.2493,2519202,859460,100000,1,1,209,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,33,20,0,,,,34.4548,2562313,820454,100000,1,1,210,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,34,24,0,,,,34.8336,2640633,835791,100000,1,1,211,0.000000
massive_1762530540737,1,QS,GA,First,Lomuto,34,21,0,,,,38.0105,2322071,1429343,100000,1,1,212,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,32,19,0,,,,44.0256,2658612,805724,100000,1,1,213,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,37,21,0,,,,46.1399,2588987,889612,100000,1,1,214,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,36,23,0,,,,46.392,2493856,872001,100000,1,1,215,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,35,21,0,,,,47.7927,2520137,857226,100000,1,1,216,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,35,18,0,,,,48.1602,2650351,855731,100000,1,1,217,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,34,22,0,,,,49.4059,2445226,849327,100000,1,1,218,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,34,23,0,,,,49.4759,2670278,839426,100000,1,1,219,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,35,23,0,,,,49.5822,2675701,851502,100000,1,1,220,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,35,23,0,,,,50.5675,2566523,853143,100000,1,1,221,0.000000
massive_1762530540737,1,QS,GA,Last,Hoare,37,20,0,,,,51.1046,2693353,877839,100000,1,1,222,0.000000
massive_1762530540737,1,QS,GA,First,Lomuto,36,18,0,,,,51.5115,2307733,1345711,100000,1,1,223,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,34,20,0,,,,51.9892,2399837,845579,100000,1,1,224,0.000000
massive_1762530540737,1,QS,GA,First,Hoare,36,21,0,,,,53.4138,2482466,872113,100000,1,1,225,0.000000
